10085,179,60,57,58,87,132
12363,164,44,77,54,77,132
8984,189,55,53,64,87,132
10077,179,58,69,60,77,132
12975,168,47,69,53,105,136
10975,183,52,72,54,77,132
11308,176,52,71,54,87,136
10938,190,62,59,61,94,134
13408,174,45,79,57,83,134
9788,199,57,54,67,94,134
10951,190,60,71,63,83,134
14094,178,49,71,56,112,138
11954,194,54,74,57,83,134
12284,186,54,73,57,94,138
11733,195,68,62,61,94,134
14383,176,47,85,57,83,134
10418,207,59,56,67,94,134
11541,195,65,75,63,83,134
15449,180,51,74,56,112,138
12584,202,56,78,57,83,134
13199,190,57,76,57,94,138
