195,195,136,195,195,195,195
125,176,83,155,176,170,170
207,207,207,207,207,207,207
166,195,112,195,195,195,195
132,180,86,158,180,171,173
157,202,105,185,202,202,202
147,190,97,174,190,190,190
190,190,133,190,190,190,190
124,174,82,153,174,168,168
199,199,199,199,199,199,199
161,190,109,190,190,190,190
129,178,83,153,178,167,169
151,194,101,177,194,194,194
144,186,95,170,186,186,186
179,179,125,179,179,179,179
116,164,77,144,164,158,158
189,189,189,189,189,189,189
152,179,103,179,179,179,179
123,168,80,147,168,160,161
142,183,95,183,183,183,183
136,176,90,161,176,176,176
